Раздел,Формат,Название,Ссылка,Описание,Комментарий/дополнение,
Эфир,Видео,Как экологично проживать агрессию?,https://disk.yandex.ru/i/73rLFGhtoypEDQ,Спикер: Карина Тищенко,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%C2%AB%D0%9A%D0%B0%D0%BA%20%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%BD%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B6%D0%B8%D0%B2%D0%B0%D1%82%D1%8C%20%D0%B0%D0%B3%D1%80%D0%B5%D1%81%D1%81%D0%B8%D1%8E_%C2%BB_smaller.mp4
Эфир,Видео,Тайм-менеджмент,https://disk.yandex.ru/i/tY0wZHTsBmobWQ,Спикер: Светлана Аллянова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%A2%D0%B0%D0%B8%CC%86%D0%BC-%D0%BC%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%BC%D0%B5%D0%BD%D1%82_smaller.mp4
Эфир,Видео,Как перестать нервничать?,https://disk.yandex.ru/i/ZHYoc5f0y87JPg,Спикер: Карина Тищенко,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%C2%AB%D0%9A%D0%B0%D0%BA%20%D0%BF%D0%B5%D1%80%D0%B5%D1%81%D1%82%D0%B0%D1%82%D1%8C%20%D0%BD%D0%B5%D1%80%D0%B2%D0%BD%D0%B8%D1%87%D0%B0%D1%82%D1%8C_%C2%BB_smaller.mp4
Эфир,Видео,Как открыть в себе новые силы и желание жить?,https://disk.yandex.ru/i/OE-Cw-1ReOVcAw,Спикер: Карина Тищенко,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9A%D0%B0%D0%BA%20%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D1%8C%20%D0%B2%20%D1%81%D0%B5%D0%B1%D0%B5%20%D0%BD%D0%BE%D0%B2%D1%8B%D0%B5%20%D1%81%D0%B8%D0%BB%D1%8B%20%D0%B8%20%D0%B6%D0%B5%D0%BB%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B6%D0%B8%D1%82%D1%8C__smaller.mp4
Эфир,Видео,Как перестать бояться масштабных целей?,https://disk.yandex.ru/i/s3h2nvN9Jqo6Uw,Спикер: Карина Тищенко,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9A%D0%B0%D0%BA%20%D0%BF%D0%B5%D1%80%D0%B5%D1%81%D1%82%D0%B0%D1%82%D1%8C%20%D0%B1%D0%BE%D1%8F%D1%82%D1%8C%D1%81%D1%8F%20%D0%BC%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%BD%D1%8B%D1%85%20%D1%86%D0%B5%D0%BB%D0%B5%D0%B8%CC%86__smaller.mp4
Эфир,Видео,Помощь НЛП в достижении целей.«Искусство убеждения. Как всегда быть правым?»,https://disk.yandex.ru/i/zILPyowIOk4m-Q,"НЛП лекция: «Искусство убеждения. Как всегда быть правым?»

Спикер: Борзенко Лина
Мастер НЛП, цифровой психолог, предприниматель

❓ Как скорректировать коммуникацию в отношениях, бизнесе и жизни так, чтобы всегда добиваться желаемого? 
❗️ Изучить этот видео-урок! 

Законспектировав и встроив в свое мышление всего 9 убеждений и ценностей, которые свойственны успешным людям, ты сможешь изменить свою жизнь в лучшую сторону!",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9F%D0%BE%D0%BC%D0%BE%D1%89%D1%8C%20%D0%9D%D0%9B%D0%9F%20%D0%B2%20%D0%B4%D0%BE%D1%81%D1%82%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%86%D0%B5%D0%BB%D0%B5%D0%B8%CC%86.%C2%AB%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%BE%20%D1%83%D0%B1%D0%B5%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F.%20%D0%9A%D0%B0%D0%BA%20%D0%B2%D1%81%D0%B5%D0%B3%D0%B4%D0%B0%20%D0%B1%D1%8B%D1%82%D1%8C%20%D0%BF%D1%80%D0%B0%D0%B2%D1%8B%D0%BC_%C2%BB_smaller.mp4
Эфир,Видео,Юридическая безопасность в мягкой нише,https://disk.yandex.ru/i/4QYOJYW_Dx_vxQ,Спикер: Татьяна Чемидова,"Презентация: https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%AE%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C.pdf
Запрет рекламы: https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%97%D0%B0%D0%BF%D1%80%D0%B5%D1%82_%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B_%D0%B2_%D1%81%D0%BE%D1%86%D1%81%D0%B5%D1%82%D1%8F%D1%85_%D1%81_1_%D1%81%D0%B5%D0%BD%D1%82%D1%8F%D0%B1%D1%80%D1%8F_2025_%D1%87%D1%82%D0%BE_%D0%B4%D0%B5%D0%BB%D0%B0%D1%82%D1%8C_.pdf
Получение лицензии: https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2FINFOURIST_%D0%9B%D0%B8%D1%86%D0%B5%D0%BD%D0%B7%D0%B8%D1%8F.pdf",https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%AE%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B2%20%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B8%CC%86%20%D0%BD%D0%B8%D1%88%D0%B5.mp4
Медитация,Видео,Соединение со своим внутренним ребенком,https://disk.yandex.ru/i/ZHLoq9LvV0zt0Q,Спикер: Кристина Филиппова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%C2%AB%D0%A1%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%81%D0%BE%20%D1%81%D0%B2%D0%BE%D0%B8%D0%BC%20%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%BC%20%D1%80%D0%B5%D0%B1%D0%B5%D0%BD%D0%BA%D0%BE%D0%BC%C2%BB_smaller.mp4
Медитация,Аудио,Я совершенна,https://disk.yandex.by/d/QrStOZ2a2bxe9Q,"Спикер: Кристина Егиазарова 

В каждой клетке твоего тела, в каждой мысли, в каждой эмоции — отражение неповторимой Вселенной, твоей уникальности! 

❓ Но как часто забываем об этом, утопая в критике и сравнениях
❗️ Чтобы не забывать своевременно проявлять любовь к телу, делай небольшую практику, которая поможет:

▫️ отпустить самокритику и негативные убеждения
▫️ наполнить сердце любовью и благодарностью к своему телу
▫️ найти баланс между принятием и стремлением к развитию
▫️ почувствовать себя целостной и гармоничной",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9C%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20_%D0%AF%20%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D1%88%D0%B5%D0%BD%D0%BD%D0%B0_.mp3
Медитация,Аудио,Денежная медитация: энергия благодарности,https://disk.yandex.by/d/wIUGe1yfxDS10w,"Спикер: Кристина Егиазарова 

☝️ Жизнь — это поток, а деньги — лишь одна из его форм. Но часто мы окутываем свои финансы страхами и негативными убеждениями. Пора это изменить!

▫️ Для начала, при ми удобную позу, закрой глаза и сделай длинный вдох. Сфокусируйся на себе и почувствуй, как тело наполняется энергией спокойствия.  

▫️ Чувствуешь, как усталость отступает прочь? Так и должно быть: с каждым новым вдохом-выдохом напряжение из мышц будет постепенно снижаться.

▫️ Затем мысли успокаиваются. Теперь они напоминают лишь едва заметные тени, которые больше не отвлекают тебя от действительно важных задач и ты готова продолжить практику. ",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%94%D0%B5%D0%BD%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BC%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D0%BD%D0%BE%D1%81%D1%82%D0%B8.mp3
